position,rank,organisationId,organisationName,domain,eligibilityBasis
1,30016716,ORG-D8D4A5E715CC,TAYLOR HARGREAVES LIMITED,taylorhargreaves.com,single-verified-uncontested-resolvable-domain
2,30406409,ORG-A57DFFD4C0A8,P.F. SPARE (1962) LIMITED,pfspare.co.uk,single-verified-uncontested-resolvable-domain
3,30582341,ORG-0B671C34F1E3,GLAISYERS SOLICITORS LLP,glaisyers.com,single-verified-uncontested-resolvable-domain
4,30776020,ORG-837FF20F3BBA,DAWOODS SOLICITORS,dawoods-solicitors.co.uk,single-verified-uncontested-resolvable-domain
5,31210326,ORG-A01DFED9BEFC,Towers Watson Limited,wtwco.com,single-verified-uncontested-resolvable-domain
6,31310226,ORG-CBEA23798F0B,Lexden Wealth Management Limited,lwml.co.uk,single-verified-uncontested-resolvable-domain
7,31312830,ORG-857934203043,Paloma Capital LLP,palomacapital.com,single-verified-uncontested-resolvable-domain
8,31359354,ORG-462C473D4FD3,Verlingue London Markets Limited,verlinguelondonmarkets.co.uk,single-verified-uncontested-resolvable-domain
9,31765445,ORG-D75949A38D45,Winston Taylor International LLP,winstontaylor.com,single-verified-uncontested-resolvable-domain
10,31827164,ORG-26148CD88C52,RASIAH & CO SOLICITORS,rasiah.co.uk,single-verified-uncontested-resolvable-domain
11,32382214,ORG-BFE338C79794,OPEN TRUSTEES LIMITED,opentrustees.com,single-verified-uncontested-resolvable-domain
12,32636205,ORG-FEBEF8EC9066,ALLARD BAILEY FAMILY LAW LTD,allardbailey.com,single-verified-uncontested-resolvable-domain
13,32838741,ORG-D52B28EC2AD5,Chancery West Law Limited,chancerywestlaw.com,single-verified-uncontested-resolvable-domain
14,33259515,ORG-1F731A39CF49,Luna Law Limited,lunalaw.co.uk,single-verified-uncontested-resolvable-domain
15,33367950,ORG-77B5D4DBCEBE,UTZURRUM LAW OFFICES APC,ulawoffices.com,single-verified-uncontested-resolvable-domain
16,34171822,ORG-23A943EB1AF1,VANQUIS BANK LIMITED,vanquis.com,single-verified-uncontested-resolvable-domain
17,34559148,ORG-BB0AB39B5C14,Margaret Ambrose,ambrosesolicitor.co.uk,single-verified-uncontested-resolvable-domain
18,34606589,ORG-275AA38BF4CC,HMCTS,gsi.gov.uk,single-verified-uncontested-resolvable-domain
19,35173679,ORG-6A506F7D09F5,Coolabah Capital (UK) Ltd,coolabahcapital.com,single-verified-uncontested-resolvable-domain
20,35271192,ORG-27067E55604A,Lann Finance Limited,lannfinance.co.uk,single-verified-uncontested-resolvable-domain
21,35623041,ORG-7ED318767F30,A M MORTGAGES (UK) LIMITED,themortgagebureau.co.uk,single-verified-uncontested-resolvable-domain
22,35688353,ORG-B95FB073B36D,Motorplus Limited,coplus.co.uk,single-verified-uncontested-resolvable-domain
23,36032389,ORG-5E4FCCA80F77,GIRAFFE PRIVATE FINANCE LIMITED,giraffeprivatefinance.com,single-verified-uncontested-resolvable-domain
24,36203974,ORG-5FD462588CB7,SIMPSONS SOLICITORS LIMITED,simpsonssolicitors.co.uk,single-verified-uncontested-resolvable-domain
25,37087066,ORG-E1572FFA5626,ARKAS LAW LIMITED,arkaslaw.co.uk,single-verified-uncontested-resolvable-domain
26,37257605,ORG-3C3C971BBBFB,Landlord Support Legal Solutions Limited,landlord-support.co.uk,single-verified-uncontested-resolvable-domain
27,37441718,ORG-0187E6F6E048,DONALDSON LEGAL CONSULTING,donaldsonconsulting.co.uk,single-verified-uncontested-resolvable-domain
28,37637725,ORG-E446F58AB7E0,HUDSON ADVISORS UK LIMITED,hudson-advisors.co.uk,single-verified-uncontested-resolvable-domain
29,37934141,ORG-985B662F28DE,MITCHELLS,mitchellssolicitors.co.uk,single-verified-uncontested-resolvable-domain
30,38072601,ORG-09CF2B8A7F78,Broker Direct Plc,brokerdirect.co.uk,single-verified-uncontested-resolvable-domain
31,38550397,ORG-2146E2E72393,MCM Bespoke Investment Services Limited,mcm-bespoke.com,single-verified-uncontested-resolvable-domain
32,39474166,ORG-515794439F32,New Wave Financial Services Ltd,newwavefs.co.uk,single-verified-uncontested-resolvable-domain
33,39729548,ORG-2FA91B315288,Redwood Insurance Brokers Limited,redwoodbusiness.com,single-verified-uncontested-resolvable-domain
34,39820130,ORG-F9B923F2C822,T.B.I. Financial Services Ltd.,tbifinancialservices.co.uk,single-verified-uncontested-resolvable-domain
35,39846355,ORG-2D65DC81A5A9,The Pickstock Group / SIFI Networks,thepickstockgroup.com,single-verified-uncontested-resolvable-domain
36,39939111,ORG-DA5B0BF26A1E,MBS Lighting UK Limited,mbseco.uk,single-verified-uncontested-resolvable-domain
37,40005973,ORG-CD57D366DA4F,HICKMAN CONSTRUCTION LAW LIMITED,hcllegal.com,single-verified-uncontested-resolvable-domain
38,40106293,ORG-CCE8EC31C672,K AND K SOLICITORS LIMITED,kandksolicitors.co.uk,single-verified-uncontested-resolvable-domain
39,40656466,ORG-16005B95CFF3,Breedy Henderson (Legal Services) Limited,breedyhenderson.com,single-verified-uncontested-resolvable-domain
40,40685958,ORG-DB5383B98ACB,MAIDEN GLOBAL HOLDINGS LTD.,maideninsurancepartnerships.com,single-verified-uncontested-resolvable-domain
41,40805628,ORG-2CACD94EB5F6,TMJ LEGAL SERVICES LIMITED,tmjlegal.co.uk,single-verified-uncontested-resolvable-domain
42,41182307,ORG-441421211649,Fennel Financial Services Ltd,fennelfinancial.co.uk,single-verified-uncontested-resolvable-domain
43,42819891,ORG-772C2E25FC85,Thornbridge Investment Management LLP,thornbridge.com,single-verified-uncontested-resolvable-domain
44,42877165,ORG-F496C54D0518,KINGSFORDS SOLICITORS LIMITED,kingsfords-solicitors.com,single-verified-uncontested-resolvable-domain
45,42890754,ORG-FD7898804897,MAPS WEALTH MANAGEMENT LIMITED,mapswealth.co.uk,single-verified-uncontested-resolvable-domain
46,42894456,ORG-A4C0AF42C275,HELEN AND IAN SAUL SOLICITORS,lawtoyourdoor.co.uk,single-verified-uncontested-resolvable-domain
47,42974390,ORG-D5919170D4DD,WISEMAN WINGATE SOLICITORS LTD,wisemanwingate.com,single-verified-uncontested-resolvable-domain
48,43643711,ORG-2B4F490E12E3,LEASE LAW LIMITED,leaselaw.co.uk,single-verified-uncontested-resolvable-domain
49,43687009,ORG-E39FEA54B645,AMH GROUP NOTTINGHAM LTD,amhsolicitors.co.uk,single-verified-uncontested-resolvable-domain
